_id,LoopsGuide,Loop,TourNum,OrderNum,LoopTourName,LoopTourURL,TourLabel,SiteName,Neighbourhood,TourType,Duration,EntryType,Interests,DirectionsTransit,DirectionsCar,Description,Address,Latitude,Longitude,ExternalLink,ImageCredit,ImageCreditExternalLink,ImageAltText,ImageURL,ThumbURL,ImageOrientation,test1,test2,test3,ObjectId,geometry
3100,Scarborough,3,1,0,Art Discovery Tour,NA,H,Art Discovery Tour,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village","Walk, Cycle, Drive",2 hours,Tour Descriptio,"Art, History",Take subway Line 2 to Warden Station and transfer to the 68 Warden bus northbound. Take the bus four stops to Upton Road. Walk approximately 75 metres south on the east side of Warden.,"From Highway 401, exit southbound on Warden Avenue. Continue on Warden south of Eglinton. Turn left into the small parking lot at YouthLink.","South Scarborough is home to a number of beautiful murals, turning the entire area into an outdoor art gallery. Painted over the past two decades, the murals celebrate history, community and nature across the Scarborough area.",Warden Ave. and Eglinton Ave. E.,NA,NA,NA,Illustration by LeeAndra Cianci,NA,Illustrated map with a green background and illustrated landmarks from Warden Avenue to Brimley Road north of Kingston Road to St. Clair Avenue.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Loop3_Tour1.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/Loop3_Tour1.png,Portrait,NA,NA,NA,415,"c(-79.280687, 43.728423)"
3101,Scarborough,3,1,1,Art Discovery Tour,NA,NA,Postwar Housing,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Did you know,History,NA,NA,"In 1946, to meet the large demand for housing with the postwar baby boom, a few of the GECo buildings, mainly on Civic Road (south of Eglinton between Warden Avenue and Birchmount Road), were converted into temporary housing for returned soldiers and their families. A few years later, many of those people were transferred into the newly built Regent Park housing development in downtown Toronto.",Warden Ave. and Civic Rd.,NA,NA,NA,NA,NA,NA,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/PostwarHousing.png,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/ScarboroughPlaceholder.png,Portrait,NA,NA,NA,416,"c(-79.287292, 43.72691)"
3102,Scarborough,3,1,2,Art Discovery Tour,NA,NA,Puzzle Mural,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"This mural was painted on Youthlinks' exterior in 2012 by Mural Routes as part of the Leadership Training in Mural Making program. Elaine Teguibon developed the concept of the mural, which uses puzzle pieces to represent the links and connectivity of people, communities and organizations. It was painted by artists Rob Matejka, Elaine Teguibon, Tara Dorey and Raymond Cho with support from youth employment program artists.",747 Warden Ave.,NA,NA,NA,NA,NA,"Panelled mural shaped like puzzle pieces depicting youth engaged in activities, including going through a doorway, putting together a puzzle at a table and playing basketball.",https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/PuzzleMural.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/PuzzleMural.jpg,Landscape,NA,NA,NA,417,"c(-79.2831322, 43.7175246)"
3103,Scarborough,3,1,3,Art Discovery Tour,NA,NA,Bomb Girls and Scarboro Junction,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Painted by Canadian street artist Omen, this StreetARToronto and Mural Routes collaboration pays homage to Scarborough's history. The north wall, Bomb Girls, honours women who worked in a nearby munitions plant during the Second World War. Built and run by the General Engineering Company (GECo), the plant was located south of Eglinton Avenue between Birchmount Road and Warden Avenue. The south wall, Scarboro Junction, pays tribute to Scarborough Junction's historical sites, including the Everest & Sons General Store and Scarborough Junction Station built in 1873.","St. Clair Ave. E., east of Warden Ave.",NA,NA,NA,NA,NA,NA,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/BombGirls.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/ScarboroughPlaceholder.png,Portrait,NA,NA,NA,418,"c(-79.278856, 43.712547)"
3104,Scarborough,3,1,4,Art Discovery Tour,NA,NA,Metamorphosis,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Metamorphosis is based on the themes of change and transformation. Situated at the entrance, it brings positivity to the Warden Woods Community Centre. Lead artist Tara Dorey and Mural Routes artists led local youth in a series of stencil-making workshops to create the images of the stages of a butterflys life and transformation. In addition, there are silhouetted natural scenes in the walkways inner walls. Visiting artist Redzuan Salleh, from Singapore, designed and painted the outer wall with the help of local youth.",74 Firvalley Ct.,NA,NA,NA,NA,NA,Mural on side of exterior ramp depicting natural landscape and silhouettes of people and two hands releasing a dove.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Metamorphosis.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/Metamorphosis.jpg,Landscape,NA,NA,NA,419,"c(-79.2778897, 43.7036652)"
3105,Scarborough,3,1,5,Art Discovery Tour,NA,NA,Flight,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Flight explores themes of migration, transition and change inspired by the migration of the monarch butterfly. This mural was created from several wood panels, which were put together like a puzzle. It was created as part of the Mural Routes Summer Youth Mural Program and painted by artists Thea Chow, Rob Matejka, Fathima Mohiudden, Katy Mulla and Minal Patel.",395A Danforth Rd.,NA,NA,NA,NA,NA,"A panelled mural on a brick wall with the Toronto skyline to the left, an assortment of Monarch butterfies, cocoons and caterpillars and human arm and human figues in blue.",https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/FlightMural.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/FlightMural.jpg,Landscape,NA,NA,NA,420,"c(-79.2689996, 43.7051797)"
3106,Scarborough,3,1,6,Art Discovery Tour,NA,NA,Warden Underpass Mural,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Created by Mural Routes in partnership with the City of Toronto, this underpass mural was painted by artist De Anne Lamirande to celebrate Scarborough history. The west wall shows the iconic Bluffs and Elizabeth Simcoe, the woman who gave Scarborough its name, while the east wall depicts the historic Bell Estate. The Bell Estate is a cut fieldstone house built in 1830 for the Thornbeck family. It was sold to the Bell family in 1882, who went on to establish Bells Scarboro Dairy on the property, which served much of the local neighbourhood. Birch trees fill the south centre column and oak trees fill the north centre column, a symbolic joining of the Birch Cliff neighbourhood and Oakridge community.","Warden Ave., south of Danforth Ave.",NA,NA,NA,NA,NA,"Painted mural on walls and pillars of underpass with a portrait of Elizabeth Simcoe, a tree anda steam train; Painted mural on walls of an underpass depicting a cow, a farm and a house.",https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/WardenUnderpassMural.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/WardenUnderpassMural.jpg,Landscape,"WardenUnderpassMural.jpg, WardenUnderpassMural2.jpg",NA,NA,421,"c(-79.273311, 43.69347)"
3116,Scarborough,3,1,16,Art Discovery Tour,NA,NA,Welcome to Birch Cliff,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Celebrating the beautiful birch trees and the Scarborough Bluffs, this is another mural in the Birch Cliff Community Mural Project created by Mural Routes and designed by Anthony Delacruz.",1720 Kingston Rd.,NA,NA,NA,NA,NA,Mural of a dense birch forest along the side of a building.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/WelcometoBirchcliff.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/WelcometoBirchcliff.jpg,Landscape,NA,NA,NA,431,"c(-79.262948, 43.692754)"
3117,Scarborough,3,1,17,Art Discovery Tour,NA,NA,"Scarborough Arts, The Bluffs Gallery, Mural Routes and Monarch Butterfly Mural","Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"As a non-profit, local arts service organization, Scarborough Arts brings individuals and groups together to create and cultivate innovative arts and cultural programs in Scarborough. Step inside to see artwork by local and emerging artists in the Bluffs Gallery, run by Scarborough Arts. Scarborough Arts led a Signature Project for the 2018 Cultural Hotspot which celebrated central and north Scarborough and involved touring a large-scale Scarborough Sign, modelled after the Toronto Sign located at City Hall, to various sites around Scarborough to promote community pride.  Also located at this site, Mural Routes is responsible for the majority of the murals in Scarborough, including many of those featured on this tour. Mural Routes is the only member-based, not-for-profit arts service organization in Canada dedicated to the creation, development and promotion of public wall art. Two monarch butterfly murals adorn the Scarborough Arts building; one on the front door and the other on the garage door at the rear of the building, facing the parking lot. These murals were painted in 2003 by Mural Routes youth artists as a training exercise in preparation for creating the Flight mural (see #5 on this tour). Enjoy the butterfly garden created by artist B.C. Johnson planted around the building.",1859 Kingston Rd.,NA,NA,https://scarborougharts.com/,Illustration by LeeAndra Cianci,NA,An illustration of a hip-roofed cottage with central dormer window and large chimney on the left.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/ScarboroughArts.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/ScarboroughArts.jpg,Landscape,NA,NA,NA,432,"c(-79.258911, 43.695366)"
3118,Scarborough,3,1,18,Art Discovery Tour,NA,NA,Sustenance,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Sustenance is one of two gateway murals created as a Signature Project of the 2014 Cultural Hotspot. This beautiful mural, created by Bill Wrigley, focuses on the community's relationship with the bluffs overlooking Lake Ontario and the natural flora and fauna that thrive in the region. There is a focus on the migration of birds and butterflies. The Cathedral Bluffs are depicted on the left and the Scarborough Bluffs on the right. It was created in partnership with Mural Routes, StARToronto and the Cultural Hotspot.",Kingston Rd. Underpass at Danforth Ave.,NA,NA,NA,NA,NA,Mural on the underside side of an bridge depictng the Scarborough Bluffs and shoreline with butterfles flying across from one end to the other.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Sustenance.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/Sustenance.jpg,Landscape,NA,NA,NA,433,"c(-79.2553, 43.70077)"
3119,East York/East End,2,3,7,Mural Art in the East End,NA,NA,"Taj Mahal, India (2016)",Gerrard Street East,NA,NA,Destination,"Art, Mural",NA,NA,Part of StreetARToronto's New7Wonders of the World mural project.,651 Gerrard St. E.,NA,NA,NA,StreetARToronto,NA,A mural of the Taj Mahal yellowed from the rays of the sun in the background with elaborate graffiti across the bottom.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/East_End_East_York_Web_Photos/Taj_Mahal.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/East_End_East_York_Web_Photos/Thumbs/Taj_Mahal.jpg,Landscape,NA,NA,NA,434,"c(-79.350142, 43.665807)"
